ac07_id,facebook_pop_sum,facebook_pop_num_cells
2007-12-006,20994.9670556894,3247.79752555117
2007-12-012,12489.611844686528,3008.693365246989
2007-23-024,310156.30324807,15496.749831881849
2007-27-201,214650.8422344389,18363.08847685426
2007-27-245,173308.1909037103,7832.564059186934
2007-27-278,272954.61276728555,26370.87876064337
2007-09-263,553974.3499221475,30416.510280206057
2007-28-242,404088.5463408418,23003.48986256577
2007-28-241,289959.18720081775,17428.76162389794
2007-28-243,324802.7121421244,27664.37988504686
2007-28-246,300274.2745743676,30185.703876450425
2007-28-244,266214.2636574223,22238.16428400376
2007-28-239,363921.3189311502,22993.403562337942
2007-28-240,270084.7824142468,22905.35551923748
2007-28-245,332212.37107150233,32831.69421520291
2007-28-247,299902.10463842726,34565.02509422845
2007-28-008,191159.6205917833,9881.252747944556
2007-28-001,192922.60143237165,7369.906533728626
2007-28-257,275779.90900331305,28960.522162913927
2007-28-258,286397.2288791478,24931.09205648802
2007-28-230,216496.22314914345,15690.51672257029
2007-28-002,145654.2770650578,6810.453386553971
2007-28-236,253099.5899842442,19268.806017239112
2007-28-007,169815.22672473377,6249.159151622254
2007-28-238,347668.6969270104,23866.56369241756
2007-28-256,333136.7528171028,30207.30258708673
2007-28-231,335192.53767413605,23646.566664476995
2007-28-248,293411.3777799219,31728.886194655217
2007-28-250,419326.1052889083,32300.908033220767
2007-28-009,204980.9462263629,6778.117164701776
2007-28-255,410609.5880256593,40168.45472916188
2007-28-006,186868.06255430405,8331.579416171859
2007-28-003,267096.76147618185,14274.218981059135
2007-28-011,176420.97068216,8917.383814051514
2007-28-004,156030.2279086595,9918.062658421935
2007-28-013,222214.5710859808,11173.024969335242
2007-28-010,183617.85769359165,6447.42993868934
2007-28-237,365324.6033808284,20084.400748085736
2007-28-014,169257.8872074435,10686.797270225215
2007-28-235,278134.60826960666,21406.09896934676
2007-28-015,164252.00542012794,8164.416158263277
2007-28-249,300484.65865486354,26596.15074449052
2007-28-005,240921.1996376596,11054.654282814365
2007-28-274,297573.184677001,34766.06790037404
2007-28-259,312025.72075464384,29976.59125615889
2007-28-273,296465.9930635432,28562.223662741453
2007-28-234,288191.7265437819,16079.515395436836
2007-28-012,193957.14946195652,11892.75961169858
2007-28-029,306858.12054054503,17925.137394122547
2007-28-254,392213.2732392505,28543.94734367897
2007-28-260,238560.0369374627,22998.58443609463
2007-28-272,271439.9104777392,26335.90657146393
2007-28-233,349952.86746652186,28510.988804315548
2007-28-252,258922.60383905144,22173.76042707693
2007-28-232,270748.54417534865,20824.45995558025
2007-28-019,169089.22004769373,9500.948896636372
2007-28-018,260866.4974157168,18516.858805883192
2007-28-016,377311.76035629504,20091.9376643959
2007-28-253,227047.77286886648,22543.43780026725
2007-28-028,179480.57797818742,11323.218748503492
2007-28-021,167014.54280300447,10957.504067259377
2007-28-017,229971.31518009072,17677.011384174304
2007-28-251,268323.0947024602,22252.113096523302
2007-28-226,361189.312011516,18275.09005848819
2007-28-271,251823.51542388383,17343.268671101083
2007-28-220,360285.0575609096,30100.495415559653
2007-28-030,164280.30681026127,7692.143863937485
2007-28-221,225294.1214097881,18399.49118572396
2007-28-227,253888.1670262208,15527.137822002416
2007-28-020,156159.16819937207,8498.11734639015
2007-28-022,357449.88582332875,23441.475486971183
2007-28-228,307340.7777661536,22672.29245131752
2007-28-275,381497.6009859925,33649.64372016172
2007-28-270,519726.78180295625,28606.442790227666
2007-28-266,312623.48767508095,29257.12543888588
2007-28-023,245635.03468831512,19105.352946116443
2007-28-027,215498.0585194736,13039.046191736235
2007-28-037,260354.888065482,17355.773327539384
2007-28-282,238131.2929453409,20020.011688361177
2007-28-268,228573.4858810704,16627.634635798022
2007-28-261,182632.55795389076,15330.389713410636
2007-28-038,177858.65241058555,19555.578099255334
2007-28-269,336985.7218210207,15640.550634635
2007-28-229,325361.90600668854,18193.231900675848
2007-28-222,270531.51402293507,23470.544572108043
2007-28-223,471793.9007831822,41680.32102083305
2007-28-267,221564.92585020387,15971.43525462551
2007-28-026,1068055.6370938353,53516.86643578903
2007-28-031,260679.45753224244,11561.980648759854
2007-28-033,361530.7011307431,21244.83533727217
2007-28-225,365603.8128178622,20401.82055733641
2007-28-265,318314.04757176206,24801.16594662078
2007-28-276,331947.9868322446,24611.97547560402
2007-28-262,234248.8259580108,17408.5684319888
2007-28-291,235909.5022874082,21954.733149548527
2007-28-032,263355.58193662803,13261.57906130809
2007-28-024,111833.88547421672,9489.266328335829
2007-28-263,283073.0350595054,18905.043272726514
2007-28-036,299751.8343174608,18077.335568386625
2007-28-025,672175.4489115311,11404.07976723944
2007-28-219,2430384.5717222407,110341.8229197557
2007-28-224,528328.1487982832,39069.29653967286
2007-28-292,258618.7989948926,32387.07551181945
2007-28-034,268192.24934486405,13825.987034582784
2007-28-202,459975.6088810125,20400.13929297592
2007-28-264,236148.6689037631,20180.55259341264
2007-28-290,274988.5485743566,25933.91976680314
2007-28-281,528860.4408842934,32585.385998606067
2007-28-045,271365.5293073911,16605.190223075784
2007-28-211,113163.5900458361,4847.532195184989
2007-28-044,238793.1873030453,15922.80808988148
2007-28-204,645408.7477296419,47128.60414918778
2007-28-283,271819.34357919835,18617.209586282144
2007-28-277,386892.6955455172,35856.47870147862
2007-28-214,375563.9539302042,17231.56282703307
2007-28-035,298299.372296224,14094.887018944137
2007-28-208,614923.9535203142,13419.382251708636
2007-28-209,500517.3537585037,16099.75936581772
2007-28-201,364220.4280047951,17612.981390465648
2007-28-073,254817.3896351726,25070.60000382044
2007-28-206,664334.3098495677,10621.13971509596
2007-28-213,95161.2535534261,5738.8808402431605
2007-28-210,437202.8082760509,16807.309626208706
2007-28-207,1107561.847973426,21600.68965234273
2007-28-212,1109162.764357129,64722.2523488031
2007-28-279,157748.827461173,16995.4491942611
2007-28-215,352815.6039861783,5343.846152239768
2007-28-216,609067.9621414018,12648.260698510498
2007-28-217,576593.8685808514,13941.78911163599
2007-28-280,318664.81011597626,31439.002680121543
2007-28-288,269561.45476905286,19913.54135951784
2007-28-039,195317.82130587724,15928.090779290593
2007-28-289,396827.503344733,32791.333550004245
2007-28-203,396079.6932121246,24865.799051036847
2007-28-218,80685.28154927764,4025.571270461573
2007-28-284,297120.42230018746,20269.483038334016
2007-28-042,311694.5013770349,23770.287258539644
2007-28-278,291426.9780718744,21736.114781511133
2007-28-205,339575.3492425492,32838.92471345875
2007-28-046,212106.76216829047,11052.639168830969
2007-28-200,403916.0416843804,25796.766167598034
2007-28-293,233387.07120360815,23010.99691762851
2007-28-191,368553.80287800735,41537.68915774741
2007-28-074,254272.9542747811,24917.96873481705
2007-28-071,320611.13945444225,24739.600765992214
2007-28-041,388812.39356526674,25013.41756284653
2007-28-047,262934.2859611376,18921.7224366346
2007-28-043,272712.5371262839,17368.878666635428
2007-28-285,328465.8633536004,25980.24094645016
2007-28-072,166644.77139805592,9772.342186537411
2007-28-081,270604.5963943995,23029.32784246153
