shrid2,town_village_name,pc11_state_id,pc11_district_id,pc11_subdistrict_id,pc11_town_village_id,ntl_2021,ntl_2025,built_2020,built_2025,pop_2020,pop_2025,facebook_mean_rwi,ntl_log_change,built_log_change,pop_log_change,signals_growing,ntl_grew,built_grew,pop_grew,ntl_score,built_score,pop_score,rwi_score,composite_score,composite_score_equal,rank,in_equal_weights_top100
11-09-194-00984-202164,Jamalpur,09,194,00984,202164,2.4850001335144043,3.4000000953674316,0.0,473.0,0.0,15.445521036783854,0.2042000184971338,0.23313648007498178,6.161207321695077,2.8000531627380023,3,1,1,1,0.057902053673269276,1.0,0.9701232270149361,0.4949111616701149,0.5681704216885596,0.6307341105895801,1,True
11-10-219-01254-233265,Mathia,10,219,01254,233265,1.2374999523162842,1.5225000381469727,0.0,349.9166666666667,0.0,16.926607767740887,0.0182067264337294,0.11989133851259659,5.860548778373928,2.886286076619102,3,1,1,1,0.029776355529103724,0.9512013591455591,1.0,0.43574556340846365,0.5384055742534336,0.6041808195207816,2,True
11-20-347-02519-348932,Kudri,20,347,02519,348932,0.6499999761581421,0.8349999785423279,0.0,469.2857142857143,0.0,15.73727035522461,-0.3499999999999998,0.1062691963501009,6.153340412741647,2.817637990548236,3,1,1,1,0.02639314408838861,0.9987231546444268,0.9762157720168618,0.3186167626235984,0.5384044038257938,0.579987208343319,3,True
11-09-185-00939-180563,Bhitha Bhikhary,09,185,00939,180563,1.1699999570846558,1.684999942779541,0.0,329.46666666666664,0.0,9.410994974772136,0.2070000000000001,0.21295355887395828,5.8005057969183635,2.342862456808044,3,1,1,1,0.052889399341827154,0.9414560319198159,0.8117221905987899,0.4958018528283862,0.5220038847813235,0.5754673686722048,4,True
11-10-225-01352-241526,Azimganj,10,225,01352,241526,1.1150000095367432,1.4924999475479126,0.0,209.76923076923077,0.0,12.490899501702724,0.3315393255428563,0.16423138480254962,5.350763841920579,2.6020153471444276,3,1,1,1,0.04078870219973364,0.8684602810035732,0.9015098566363666,0.5354185702976041,0.5090449147563595,0.5865443525343194,5,True
11-09-184-00934-177540,Majharia Kalan,09,184,00934,177540,0.6399999856948853,1.0399999618530273,0.0,217.04347826086956,0.0,9.654039465862772,0.0205396175635646,0.21825355604315239,5.384694484466886,2.3659391128114655,3,1,1,1,0.054205712946888675,0.8739674228306026,0.8197174673630574,0.4364876702761078,0.49417727030153574,0.546094568354164,6,True
11-09-191-00964-192008,Sobha Pur,09,191,00964,192008,1.7549999952316284,11.694999694824219,2.5416666666666665,102.25,0.11162119793395202,4.037193587360282,0.2040000000000001,1.5277907502435166,3.372555805698772,1.511029610638087,3,1,1,1,0.37944392912543357,0.547385541438153,0.5235203893607303,0.4948475345687554,0.47137532301451207,0.48629934862326807,7,False
11-09-191-00968-194936,Pura Nazir,09,191,00968,194936,1.090000033378601,1.880000114440918,0.38461538461538464,226.92307692307693,0.01718994975090027,8.622278306346674,-0.383,0.3206262519369415,5.103585789677401,2.2470371926101302,3,1,1,1,0.07963111754428591,0.8283418367868357,0.7785219943416815,0.3081192617676594,0.4693623152211249,0.4986535526101156,8,False
11-18-310-02069-292407,Disang Kinar Bangali,18,310,02069,292407,1.8037500381469727,156.17373657226562,84.64224137931035,93.39224137931035,2.8500578775680783,2.9552943614022484,0.2480284200556437,4.026393975428374,0.09728024550850112,0.026966844790510924,3,1,1,1,1.0,0.01578915307166409,0.009343094923597793,0.5088532429693541,0.45781299211055754,0.383496372741154,9,True
11-10-215-01184-227058,Chak Gadhia,10,215,01184,227058,2.759999990463257,4.695000171661377,0.0,137.7,0.0,4.392476272583008,0.091,0.4151696721761815,4.932313327320786,1.6850046991941658,3,1,1,1,0.10311203392162113,0.8005433139626608,0.5837968428853468,0.458901546789328,0.45489465456731454,0.4865884343897392,10,True
11-05-066-00338-054531,Bhowali Senitorium,05,066,00338,054531,0.996666669845581,1.3683331807454426,0.0,139.98333333333332,0.0,3.414333470662435,0.7275964267350148,0.17070728340120866,4.948641680081914,1.484856853386534,3,1,1,1,0.04239706408338912,0.803193501159516,0.5144524187726551,0.6614067448056462,0.44138508833564916,0.5053624322053016,11,True
11-21-387-03057-408676,Laxminarayanpur Dinaudharan,21,387,03057,408676,2.2350001335144043,3.0850000381469727,0.0,99.41176470588235,0.0,4.862420025993796,0.2273303925855241,0.2332927684255668,4.609279378738225,1.7685624920578227,3,1,1,1,0.05794086963403685,0.748113013906845,0.6127467773844016,0.5022690744516624,0.4271548267738369,0.4802674338442364,12,True
11-20-358-02615-364986,Ahmad Nagar,20,358,02615,364986,1.4200000762939453,1.5099999904632568,3.0,288.0,0.1486946940422058,13.190750762820244,0.038,0.03651517764917511,4.2801323269925415,2.5139641485919713,3,1,1,1,0.009068952981753408,0.6946905214374425,0.8710031098292045,0.442041924202517,0.4216239225904386,0.5042011271127294,13,True
11-18-317-02101-299975,Achiura,18,317,02101,299975,1.3050000667572021,2.805000066757202,2.1666666666666665,98.16666666666667,0.4321909248828888,19.10332391659419,-0.2580000000000005,0.5012353034477276,3.4441224263791894,2.6416797832945456,3,1,1,1,0.12448739654057336,0.5590012227395132,0.9152522352839397,0.34788252258560987,0.4175214741262109,0.4866558442874091,14,True
11-21-386-03053-408246,Damodarpur,21,386,03053,408246,1.0800000429153442,1.2899999618530273,0.0,113.41666666666667,0.0,4.837013244628906,0.1009999999999999,0.096183886562478,4.739846755979971,1.7642192353006123,3,1,1,1,0.023888344545877394,0.7693048632351395,0.6112419865764517,0.46208260765476405,0.4167065987025939,0.46662945050305815,15,True
11-19-344-02444-336854,Simlabada,19,344,02444,336854,0.8849999904632568,1.0399999618530273,0.0,147.78571428571428,0.0,4.325972539771881,-0.2429999999999999,0.07902197331593452,5.002507111645714,1.6725953314963387,3,1,1,1,0.01962599134564999,0.8119361758905103,0.5794974188613904,0.3526541138837641,0.4142180823175235,0.4409284249953287,16,True
11-10-240-01542-260637,Bazidpur,10,240,01542,260637,1.315000057220459,1.2074999809265137,0.0,108.24242424242425,0.0,5.008075367320668,0.2049999999999997,-0.04754906739979092,4.693569488252569,1.7931044588772713,2,0,1,1,0.0,0.761793791896175,0.6212497345300066,0.49516564065529883,0.40933185140869216,0.4695522917703701,17,True
11-29-581-05592-622115,Korachanoor,29,581,05592,622115,2.065000057220459,4.315000057220459,0.34615384615384615,96.76923076923077,0.0060618476798901194,1.509725652491817,0.4680000000000005,0.5504854345025887,4.285358390259986,0.9141298967788761,3,1,1,1,0.13671921770745787,0.6955387420855356,0.3167149314075121,0.5788275414162671,0.40351624066567415,0.43195010815419316,18,True
11-20-351-02561-357347,Kanadih Chhit,20,351,02561,357347,2.9099998474121094,6.045000076293945,0.0,40.121212121212125,0.0,3.465303594415838,0.3466626449611307,0.5887808212079224,3.716524098368389,1.4963372062870213,3,1,1,1,0.14623030552922509,0.6032136080345201,0.5184299707532042,0.5402293902533003,0.4014043196620827,0.4520258186425624,19,True
11-20-362-02675-372055,Gobindpur,20,362,02675,372055,0.9900000095367432,1.024999976158142,0.09375,105.71875,0.0050100223161280155,4.9741785866208375,-0.1460000000000004,0.01743504525601114,4.580584710515477,1.7824490994093036,3,1,1,1,0.004330188591183802,0.7434557013503097,0.6175580147263865,0.3835104042784936,0.3929263135458892,0.4372135772365934,20,True
11-29-583-05603-625265,Shanappanahalli,29,583,05603,625265,1.2300000190734863,3.0250000953674316,0.7368421052631579,103.42105263157895,0.010892412380168312,1.4053954097785448,0.4213965648488306,0.590523340539138,4.096362726378338,0.8668807842507915,3,1,1,1,0.1466630797042933,0.6648636399483053,0.30034472025247977,0.5640027050408397,0.39281948440558007,0.41896853623647956,21,True
11-10-232-01443-248563,Khemrajpur,10,232,01443,248563,1.100000023841858,1.1349999904632568,0.12280701754385964,94.45614035087719,0.010469731531645122,7.988054313157734,-0.5936320128267433,0.016529286131086396,4.442835063126253,2.1854810936962155,3,1,1,1,0.004105233176872072,0.7210981275507438,0.7571948988009581,0.24111593646654178,0.391717266380307,0.430878548998779,22,False
11-21-387-03064-409583,Chadakpur,21,387,03064,409583,0.7549999952316284,0.9800000190734863,0.02564102564102564,58.97435897435897,0.004029118479826512,6.579323050303337,0.0044396362050934,0.12062800013870945,4.068599312470243,2.0214028649993763,3,1,1,1,0.02995931368734865,0.6603574754161797,0.7003473707523751,0.43136616821273954,0.39129756430473256,0.4555075820171607,23,True
11-20-347-02520-349026,Majhaulia,20,347,02520,349026,1.2850000858306885,1.3049999475479126,0.0,73.45,0.0,3.076778221130371,0.3949999999999998,0.008714591783993364,4.310127759130018,1.4053070247932207,3,1,1,1,0.002164366387684704,0.6995589555886284,0.48689110763384547,0.5556057970985837,0.374305626866029,0.4360550566771855,24,False
11-01-014-00054-003612,Kitriteng,01,014,00054,003612,1.1475000381469727,1.7725000381469727,0.046875,69.9375,0.0010871090926229954,1.3770948918536305,0.6142571134589198,0.25544506136173095,4.215989671644428,0.8647925898109369,3,1,1,1,0.06344263947358847,0.6842797931501063,0.2996212318717643,0.6253528194078479,0.372353450113522,0.4181741209758268,25,True
11-24-484-03885-518561,Gotavipura,24,484,03885,518561,0.8675000071525574,1.3037500381469727,0.14545454545454545,87.52727272727273,0.0037536266175183385,2.143989732658321,-0.3872193930154315,0.20993760470568568,4.3475091297911685,1.1417460095268908,3,1,1,1,0.05214035337496999,0.7056261707802876,0.3955761761717998,0.3067770471679311,0.3578394322656517,0.3650299368737471,26,True
11-06-085-00414-062514,Mailawas  (61),06,085,00414,062514,2.4049999713897705,3.009999990463257,0.0,96.0,0.0,0.9508897152211931,0.1020000000000001,0.16354630774117895,4.574710978503383,0.668285532734785,3,1,1,1,0.040618555645384656,0.742502360275191,0.23153821727802953,0.4624007137413077,0.3570940523203059,0.36926496173497825,27,True
11-33-604-05706-629487,Chettipatturayamankuppam,33,604,05706,629487,1.215000033378601,1.877500057220459,0.0,73.21052631578948,0.0,0.9827173969201874,0.2430000000000002,0.26166946293293236,4.306906004205773,0.6844683264821783,3,1,1,1,0.06498853925616978,0.6990360459126465,0.23714500514236667,0.507253671943956,0.35695514973764475,0.3771058155637847,28,True
11-21-377-02907-393878,Gada-Bhanga-4,21,377,02907,393878,1.5449999570846558,2.114999771118164,0.4107142857142857,68.75,0.019342070711510524,2.763268847550665,0.1282775817820419,0.20209844562222357,3.9008212589696023,1.3061305636019378,3,1,1,1,0.05019341049473978,0.6331261155965134,0.452529835549737,0.4707597724458225,0.3566269572337184,0.40165228352170324,29,True
11-05-061-00306-045367,Chilgarh Talla,05,061,00306,045367,5.507500171661377,13.635000228881836,0.0,22.558823529411764,0.0,0.3814920257119572,1.0459999999999998,0.8104605515176071,3.1595004224521976,0.32316409316920425,3,1,1,1,0.20128694719482362,0.5128054060649517,0.11196537161962399,0.7626928594384704,0.35306076268745323,0.39718764607946744,30,True
11-21-384-03006-404034,Tolakalundi,21,384,03006,404034,1.9624998569488525,3.5199999809265137,0.5737704918032787,72.22950819672131,0.01059986712014089,1.2344562792387166,0.2300013996684733,0.4224785314504007,3.8401241298842823,0.7934538405712851,3,1,1,1,0.10492727091005856,0.6232746163827813,0.2749047805755659,0.5031187380619496,0.3516646149905267,0.3765563514825888,31,False
11-19-333-02230-314369,Dakshin Dangapara,19,333,02230,314369,0.5649999976158142,0.7599999904632568,0.0,73.05405405405405,0.0,2.148353989059861,-0.2590000000000002,0.11742798116278119,4.304795286737892,1.1468797731086882,3,1,1,1,0.02916455316578598,0.698693464116957,0.397354850719477,0.3475644164990664,0.3505682029650775,0.3681943211253216,32,True
11-24-486-03904-520832,Manpur,24,486,03904,520832,0.9066666762034098,1.161666711171468,0.0,67.69736842105263,0.0,1.446535843767618,0.197060690831639,0.12552302796310089,4.2297108931242215,0.8946730826790037,3,1,1,1,0.03117504862393559,0.686506827684633,0.3099738067984562,0.4926400980858919,0.34850748996755343,0.3800739452982292,33,True
11-02-027-00131-014146,Balehra  (531),02,027,00131,014146,0.5299999713897705,0.7350000143051147,0.0,61.5,0.0,1.3873037338256835,0.3112637457868969,0.1257397049389979,4.135166556742356,0.8701645842662099,3,1,1,1,0.031228862775560917,0.6711617286731207,0.3014824453179261,0.5289687849690332,0.3455173954404089,0.38321045543391025,34,True
11-27-508-04058-539319,Konsari,27,508,04058,539319,0.4797999954223633,24.85039794921875,95.95873015873016,106.74761904761905,3.011207465188844,3.159072367716876,0.2011865689229071,2.860419054973962,0.10550620604636496,0.03619975137160614,3,1,1,1,0.7104170809985473,0.017124274600345376,0.012541983161284312,0.49395256501906115,0.3414368824856386,0.3085089759448095,35,True
11-18-309-02060-290102,Kakajan Sonari,18,309,02060,290102,5.3125,15.40625,0.5714285714285714,30.142857142857142,0.018432156725244207,0.9174079338272849,-0.0838567178410518,0.9551305651904187,2.9865997899907186,0.6327098959628507,3,1,1,1,0.237217363978596,0.4847426217056826,0.21921246860740348,0.4032785605710517,0.337756589536643,0.3361127537156835,36,True
11-19-344-02442-336330,Krishnanagar,19,344,02442,336330,0.6800000071525574,0.6899999976158142,1.1666666666666667,125.41666666666667,0.03266510119040807,3.2442267263929048,-0.3350000000000004,0.005934729851579057,4.06639344132705,1.4134167047614306,3,1,1,1,0.00147395656952513,0.6599994496222049,0.48970083603668946,0.3233883539217523,0.33738335079326043,0.36864064903754296,37,True
11-02-024-00111-011709,Dohri  (537),02,024,00111,011709,0.4950000047683716,0.5974999666213989,0.0,72.65116279069767,0.0,0.7018152724864871,0.4883772716049894,0.06631367634308366,4.299339930845077,0.5316954887064175,3,1,1,1,0.016469743583904614,0.6978080279340834,0.184214410696679,0.5853096755409662,0.33698383636908946,0.37095046443890833,38,False
11-02-029-00149-018394,Bahal  (3/7),02,029,00149,018394,0.47999998927116394,0.5950000286102295,3.5,194.85714285714286,0.042435279914311,2.0920101361615315,0.31,0.07483167364744558,3.7733081337307266,1.087261817762464,3,1,1,1,0.018585283532638937,0.6124299892399353,0.37669925603356885,0.5285667797423774,0.331146176026306,0.38407032713713013,39,True
11-02-033-00181-024612,Kabi  (20),02,033,00181,024612,0.9549999833106995,0.8899999856948853,2.129032258064516,48.064516129032256,0.3031058619099279,6.451118976839127,1.2626639269355586,-0.0338133633978952,2.7524123137559102,1.7436136797532304,2,0,1,1,0.0,0.4467326239881608,0.604102862109788,0.8316149733311106,0.33013334504543557,0.4706126148572648,40,True
11-18-310-02069-292264,Balipara,18,310,02069,292264,6.364091352982954,100.39045854048295,181.85347985347985,218.80586080586082,5.77708056416267,6.387260219689472,0.1336067844606826,2.6223633208538404,0.18405953027449495,0.08621051067051089,3,1,1,1,0.6512932755356716,0.029873938769496938,0.029869011034240573,0.4724550242543226,0.32269904286416096,0.29587281239843294,41,False
11-33-602-05693-628596,Nangapallam,33,602,05693,628596,2.1649999618530273,3.8899998664855957,0.0,33.69565217391305,0.0,0.5090828356535538,0.3856970103540952,0.43503923263983757,3.546614381520659,0.4115020726816894,3,1,1,1,0.10804686160736496,0.5756362667804061,0.14257147827969605,0.5526464594691695,0.32134180570495946,0.34472526653415914,42,True
11-02-024-00100-009794,Rehalkar  (572),02,024,00100,009794,0.5550000071525574,2.3450000286102295,3.380952380952381,73.38095238095238,0.042634010048849244,0.8569473466348081,0.2916227993264885,0.7659911519024117,2.831933753350591,0.5771837147366498,3,1,1,1,0.1902424741783786,0.4596394189461339,0.19997453454535707,0.5227208803545002,0.31923905451975193,0.34314432700609243,43,False
11-05-064-00333-053597,Jajar,05,064,00333,053597,0.41499999165534973,0.4599999785423279,0.0,56.125,0.0,1.591909408569336,-0.2349451358002079,0.03130689582528773,4.045241849214369,0.9523948274816162,3,1,1,1,0.007775417909012975,0.6565664224558895,0.32997242899678864,0.3552164152120001,0.3179259208938848,0.3373826711434228,44,False
11-18-304-02026-283615,Nakhula Grant,18,304,02026,283615,2.254999876022339,36.63500213623047,713.3717948717949,739.8846153846154,15.917040194647434,16.140973914987764,0.901731936958088,2.4477422876761405,0.0364413505203256,0.013150323251401197,3,1,1,1,0.607924187899601,0.0059146444223694495,0.004556139932880472,0.7168003104909817,0.3176032527467,0.33379882068645816,45,True
11-33-631-05892-644024,Pillari Agraharam,33,631,05892,644024,1.2832075874760467,27.100093049823112,267.2071684587814,317.678853046595,6.756422975555222,6.90622760180691,0.4437228013449479,2.5101915968046455,0.172424166905488,0.019129481787187874,3,1,1,1,0.6234341726426765,0.027985451211541203,0.00662771509108186,0.5711048167598667,0.31727321592075897,0.30728803892629153,46,True
11-19-344-02442-336269,Birkanar,19,344,02442,336269,0.6850000023841858,0.6650000214576721,0.0,58.55,0.0,1.5146047592163085,-0.204,-0.0119404288993743,4.0868162958013095,0.9221156378086963,2,0,1,1,0.0,0.6633141984056691,0.3194817191817768,0.3650602512589647,0.31658825244514716,0.33696404221160264,47,False
11-19-339-02358-326343,Srirampur,19,339,02358,326343,0.70374995470047,0.7537499666213989,2.05,103.075,0.07488073110580444,3.721615195274353,-0.2192291652459448,0.028924655961358625,3.529970202461719,1.479941235832306,3,1,1,1,0.007183761981036962,0.5729348191273899,0.512749324407184,0.36021576110125125,0.31633466625820394,0.36327091665421557,48,False
11-05-060-00301-044715,Banpur,05,060,00301,044715,0.38999998569488525,0.48500001430511475,0.0,37.08,0.0,1.3451557922363282,0.4465742525806295,0.06611104503658594,3.6396892099231644,0.8523518356131498,3,1,1,1,0.016419417831448617,0.5907428560481892,0.29531093349262383,0.5720118807534192,0.31482559484868117,0.36862127203142026,49,True
11-03-035-00202-028267,Gadarian  (324),03,035,00202,028267,1.3174999952316284,1.9524998664855957,1.234375,57.265625,0.01744769560173154,1.1530605563893914,0.5124339225650058,0.24216320746825848,3.2610507499189136,0.7495931123035716,3,1,1,1,0.06014394243238315,0.529287618424392,0.259708529371288,0.5929622426332025,0.3075607470905039,0.36052558321531647,50,True
11-05-061-00309-046883,Chindola,05,061,00309,046883,0.4483333428700765,0.49000000953674316,0.0625,44.15625,0.0016018510796129704,1.0159336271462962,0.3721503841810175,0.02836264972398811,3.749504075930371,0.6994818571400291,3,1,1,1,0.007044181443017027,0.6085664513718724,0.2423466830978094,0.5483371952313825,0.3070016525451718,0.3515736277860203,51,True
11-17-296-01983-277287,Mawshaliah,17,296,01983,277287,0.40666667620340985,0.5400000015894572,0.0,38.361702127659576,0.0,1.2002597565346576,0.139,0.09055957129816689,3.672793316362312,0.7885754245465374,3,1,1,1,0.02249148291270531,0.5961158462286332,0.273214575275313,0.47417063894342104,0.30603638953074275,0.34149813584001815,52,True
11-08-104-00495-072129,Chowki,08,104,00495,072129,0.8190000534057618,1.4920000076293944,0.8870967741935484,54.38709677419355,0.017837608473435525,1.0118820546495337,0.0989783157576852,0.3147986750908197,3.379307106659665,0.6813902443296647,3,1,1,1,0.07818377362273095,0.5484813170886688,0.23607855432259237,0.4614394975922144,0.3047977033377367,0.3310457856565516,53,True
11-08-104-00504-073751,Imarti Ka Was,08,104,00504,073751,0.8249999682108561,0.9283332824707031,0.0,45.868852459016395,0.0,1.1190660820632685,-0.0617923040507204,0.05507607598531217,3.8473533281490004,0.7509754642946043,3,1,1,1,0.01367875978392118,0.6244479575620762,0.26018746734012993,0.41029738489377277,0.30408614765069186,0.327152892394975,54,True
11-03-038-00217-032038,Jamalpur  (365),03,038,00217,032038,0.8033333619435629,1.0766665935516357,0.0,43.49411764705882,0.0,0.5656579410328585,0.1574361722786174,0.1411271888678991,3.7953569927280864,0.4483061452504192,3,1,1,1,0.03505051659851154,0.6160086480719017,0.1553228381905753,0.48003529755781565,0.30092518894893805,0.32160432510470105,55,True
11-23-426-03439-459154,Sotipura,23,426,03439,459154,2.1550002098083496,17.037500381469727,1.5980392156862746,8.754901960784315,0.06093325801924163,0.2725953588298723,-0.0769886662761344,1.7434643827552483,1.3230129111723705,0.18190945194692656,3,1,1,1,0.4330088891934025,0.21473273696110295,0.06302544069367134,0.4054633295765473,0.2983601626754525,0.279057599106181,56,False
11-29-582-05596-623525,Ballagere,29,582,05596,623525,1.4449999332427979,5.015000343322754,21.395833333333332,124.70833333333333,0.46748126298189163,2.4708291590213776,0.6811561202583982,0.9002113108811293,1.7250894791572433,0.860846011487691,3,1,1,1,0.22357755261278286,0.2799921166559016,0.2982538766552403,0.646633800654484,0.29682972343841313,0.3621143366446022,57,True
11-24-485-03890-519059,Nes Damorni,24,485,03890,519059,0.5600000023841858,0.6800000071525574,0.56,57.16,0.020683109760284424,1.6926104569435119,-0.4720000000000002,0.0741079748828723,3.618512011963818,0.9700390345532774,3,1,1,1,0.01840554484611453,0.5873056729031298,0.33608554689407244,0.27980782006527855,0.29131281749517995,0.30540114617714886,58,True
11-33-604-05707-629638,Thirumalpattu,33,604,05707,629638,1.975000023841858,29.189998626708984,25.927710843373493,25.927710843373493,0.32986698387168256,0.3320233464600092,0.530000000000001,2.3172666512188087,0.0,0.0016201742314123635,2,1,0,1,0.5755191035353839,0.0,0.0005613352898511644,0.5985501187819708,0.29014685358582837,0.29365763940180145,59,False
11-01-001-00002-000318,Badrah,01,001,00002,000318,0.7300000190734863,0.887499988079071,0.0,31.57894736842105,0.0,0.8418990854631391,0.016,0.08713177629049462,3.4836662935181555,0.6107971510246032,3,1,1,1,0.02164015166479692,0.5654194237631539,0.21162044745754044,0.43504359029855766,0.28180028513150945,0.30843090329601225,60,True
11-27-503-04001-531420,Babanda,27,503,04001,531420,0.643750011920929,0.6150000095367432,0.0,30.348314606741575,0.0,1.3843737827258165,-0.1277550534808739,-0.017645261616489827,3.4451605050832717,0.8689365249692718,2,0,1,1,0.0,0.5591697089873996,0.30105696452207353,0.38931423281489025,0.2797993661053899,0.31238522658109086,61,True
11-33-631-05892-644019,T.Gollahalli,33,631,05892,644019,1.3849999564034599,16.977142333984375,203.03703703703704,274.0925925925926,5.141984385449761,5.965838856328233,0.3456170981119101,2.0199019745325617,0.29880620986404605,0.12587015903484033,3,1,1,1,0.5016652585065676,0.048497996295608865,0.04360973087680913,0.5398967954367967,0.2781715412812912,0.2834174452789456,62,False
11-06-076-00381-059943,Kundal  (241),06,076,00381,059943,1.8990908536044033,16.773635864257812,6.66060606060606,15.048484848484849,0.0848326186451948,0.19300310309186125,0.0766507962331079,1.8133190390331213,0.7395233423500964,0.0950480376332291,3,1,1,1,0.4503580747684284,0.12002896571035011,0.03293091367594621,0.45433697773402526,0.2725267027307884,0.2644137329721875,63,False
11-28-544-04848-584965,Chintalagondi,28,544,04848,584965,0.3866666555404663,0.42499999205271405,0.0,28.291666666666668,0.0,1.610808531443278,-0.4731030514139677,0.027269030562211083,3.3773030614627193,0.9596599555241907,3,1,1,1,0.006772568886359386,0.5481560488267343,0.33248954886977244,0.27945693269672495,0.2723827702440391,0.2917187748198978,64,True
11-22-406-03296-438795,Bamhani Kalan,22,406,03296,438795,1.1858332951863606,1.0491666793823242,0.0,30.844961240310077,0.0,0.6621036233828049,0.0283111481688522,-0.06456391399348593,3.4608791666867766,0.5080840430954421,2,0,1,1,0.0,0.5617209397418259,0.17603384751472542,0.4389598414634097,0.26690339018318887,0.29417865717999025,65,True
11-27-504-04017-533673,Harashi,27,504,04017,533673,0.4449999928474426,0.5337499380111694,0.009259259259259259,31.15740740740741,0.0002000817891072344,0.5416353776085155,-0.0494207146686367,0.059606360011939086,3.4614261705149305,0.4326437247096174,3,1,1,1,0.01480390651677286,0.5618097216638734,0.14989634195110751,0.41423286277643184,0.26646270275937417,0.2851857082270464,66,True
